id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1081530864749096727,2BR Cozy Central Brisbane Apt Huge BalconyPool M25,166518895,Alice,,Spring Hill,-27.46137,153.02428,Entire home/apt,209,1,105,2025-11-08,4.96,43,59,33,
1081532402486958440,Convenient Comfort: 4BR near Malls and Transport!,97177917,Olivia,,Robertson,-27.56803,153.05041,Entire home/apt,,2,35,2025-10-21,1.76,135,166,18,
1082030474856719248,Nice apartment on Level 20 of a 32-story complex,122480294,Sam,,South Brisbane,-27.47331,153.01409,Entire home/apt,191,1,31,2025-11-07,1.44,8,27,7,
1082374923629225883,Paddo Princess! ~ 4Bed/2Bath/1Car ~ House,3384506,Andy,,Paddington - Milton,-27.46028,153.00655,Entire home/apt,472,7,48,2025-10-26,2.37,132,43,22,
1082922985941970341,1 bed self-contained apartment Willow_inthecity,543038746,Jodee,,Camp Hill,-27.49133,153.06634,Entire home/apt,,1,28,2024-12-28,1.33,1,0,1,
1082962133536100039,"Spacious 2br, modern and private",53593483,Corrie,,Manly - Lota,-27.44776,153.18602,Entire home/apt,197,1,71,2025-11-01,3.36,1,251,49,
1083175769676441674,1 small bedroom in Quiet Bellbowrie,44804754,Magnolia,,Bellbowrie - Moggill,-27.56224,152.88156,Private room,,365,2,2025-02-23,0.13,3,0,1,
1083605784606753284,"""Chic Retreat: Your Stylish Escape!""",167163300,Marine,,New Farm,-27.4659324,153.0478271,Entire home/apt,148,2,107,2025-11-06,5.44,1,86,63,
1084257735202689421,1-bedroom apartment. South Bank & city,240753079,Alex,,South Brisbane,-27.47242,153.01514,Entire home/apt,,1,3,2025-09-15,0.38,5,0,3,
1084283640072047142,Arran Single With Desk / Shared Bathroom / No AC,560363763,Kurt,,Spring Hill,-27.45937,153.0198,Private room,202,1,168,2025-10-24,8.08,13,262,28,
1084294549019643498,Arran Single with Lounge / Shared Bathroom / No AC,560363763,Kurt,,Brisbane City,-27.46102,153.01776,Private room,180,1,50,2025-08-11,2.45,13,267,13,
1084296370012299348,Arran Twin Room / Shared Bathroom / No AC,560363763,Kurt,,Spring Hill,-27.46097,153.01928,Private room,198,1,75,2025-10-05,3.83,13,345,22,
1084298365275846883,Arran Double Room / Shared Bathroom / No AC,560363763,Kurt,,Brisbane City,-27.46147,153.01764,Private room,196,1,50,2025-04-11,2.50,13,234,13,
1084302062351230734,Arran Queen Studio,560363763,Kurt,,Spring Hill,-27.45981,153.0185,Private room,,1,7,2025-10-18,0.35,13,172,2,
1084540697957178009,City Sanctuary - Private 1 bedroom apartment,180020645,Sam,,Newstead - Bowen Hills,-27.44739148313412,153.02977012883602,Entire home/apt,,1,12,2025-05-05,0.61,1,0,6,
1084953761853330483,"Urban Oasis in The Valley with Pool, Spa & Gym",537963586,Daniel,,Fortitude Valley,-27.4526143,153.0396398,Entire home/apt,186,1,18,2025-11-09,0.87,57,336,9,
1085105026233893940,Small room with private bathroom and private entry,474808261,Phuong,,Forest Lake - Ellen Grove,-27.63056,152.9667,Private room,,1,70,2025-11-05,3.80,2,297,46,
1085115002675471849,"Luxe Sky Home w/ Views, Roof Pool, Parking & WiFi",78924442,Lee,,Fortitude Valley,-27.456925695467557,153.03218691722026,Entire home/apt,307,1,64,2025-10-25,3.02,291,351,33,
1085306975884033859,2 Bdr Apt! Spotless! Garage Parking! 218D2,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.54518,153.0116,Entire home/apt,333,1,5,2025-08-24,0.24,105,362,1,
1085328109403994857,1 Bdr Apt! Spotless! Garage Parking! 218D1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.54518,153.0116,Entire home/apt,339,1,4,2025-05-01,0.25,105,362,1,
1085888635531083794,"Hygge.Bne

Magic Round Dates Open Now.",80160379,Sanjana,,Camp Hill,-27.49013,153.07714,Entire home/apt,378,3,15,2025-04-19,0.74,1,250,4,
1085973480559616157,Brunswick & Kent,331605806,Julie,,New Farm,-27.462171895885557,153.0402471497655,Private room,91,1,9,2025-11-06,0.45,1,87,6,
1086014190325448747,Private room in Chermside with Ensuite bathroom,167901305,Sidharth,,Chermside,-27.39146,153.02848,Private room,1050,1,30,2024-11-13,1.42,1,179,2,
1086129684850783253,Beautiful Brisbane Basecamp,113006497,Andrew,,Nudgee - Banyo,-27.3734,153.0808,Private room,49,21,2,2025-06-05,0.14,4,188,1,
1086141227215210960,Rainbow Rainforest,113006497,Andrew,,Nudgee - Banyo,-27.37219,153.08126,Private room,50,21,5,2025-06-14,0.31,4,209,3,
1086151265497130766,Peaceful Unique Shared Home,113006497,Andrew,,Nudgee - Banyo,-27.37347,153.08086,Private room,49,21,5,2025-10-31,0.30,4,188,4,
1086518551264411526,"Wynnum 3BR Home, Back Deck, Large Yard",490889106,Ho Ying,,Wynnum,-27.4368271,153.1668658,Entire home/apt,206,2,14,2025-10-22,0.67,2,78,8,
1087288564314038162,Stylish Valley Pad w/ Infinity Pool & Huge Gym,78924442,Lee,,Fortitude Valley,-27.45709,153.03134,Entire home/apt,156,1,35,2025-10-19,1.64,291,353,18,
1087310068236948712,Stylish 2BR/2BA Apt with Pool in Central Bulimba,17955940,Francesca,,Bulimba,-27.4546409,153.0553362,Entire home/apt,205,5,11,2025-10-10,0.54,4,89,6,
1088091276739027134,Location.River View.Enjoy!,93421234,Marianne,,Brisbane City,-27.4623301,153.0325566,Entire home/apt,158,2,97,2025-10-19,4.66,1,64,50,
1088119391141859063,Little House on the Hill,171872188,Elizabeth,,Morningside - Seven Hills,-27.4806835,153.0717381,Entire home/apt,148,1,54,2025-11-08,2.58,1,265,32,
1088822914259054175,Charming hotel alternative,7297041,Meg,,Fairfield - Dutton Park,-27.50273,153.02479,Entire home/apt,151,3,29,2025-11-03,1.38,1,27,13,
1088936788621321367,1 Bdr Apt! Spotless! Garage Parking! 216D1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.54516,153.01151,Entire home/apt,242,1,15,2024-09-07,0.85,105,345,0,
